year,state,area
2001-2012,A&N islands,8249.00
2001-2012,Andhra Pradesh,162968.00
2001-2012,Arunachal Pradesh,83743.00
2001-2012,Assam,78438.00
2001-2012,Bihar,94163.00
2001-2012,Chandigarh,114.00
2001-2012,Chhattisgarh,135192.00
2001-2012,Dadra and Nagar Haveli,602.00
2001-2012,Daman and Diu,1483.00
2001-2012,Delhi,3702.00
2001-2012,Goa,196244.00
2001-2012,Gujarat,44212.00
2001-2012,Haryana,55673.00
2001-2012,Himachal Pradesh,42241.00
2001-2012,Jammu and Kashmir,79716.00
2001-2012,Jharkhand,191791.00
2001-2012,Karnataka,38852.00
2001-2012,Kerala,59000.00
2001-2012,Lakshadweep,30.00
2001-2012,Madhya Pradesh,308252.00
2001-2012,Maharashtra,307713.00
2001-2012,Manipur,22327.00
2001-2012,Meghalya,22429.00
2001-2012,Mizoram,21081.00
2001-2012,Nagaland,16579.00
2001-2012,Odisha,155707.00
2001-2012,Puducherry,490.00
2001-2012,Punjab,50362.00
2001-2012,Rajasthan,342239.00
2001-2012,Sikkim,7096.00
2001-2012,Tamil Nadu,130060.00
2001-2012,Tripura,10486.00
2001-2012,Uttar Pradesh,240928.00
2001-2012,Uttarakhand,53483.00
2001-2012,West Bengal,88752.00
