state,year,literacy_rate
A&N islands,2001-2012,84.01
Andhra Pradesh,2001-2012,63.8
Arunachal Pradesh,2001-2012,59.94
Assam,2001-2012,67.79
Bihar,2001-2012,54.51
Chandigarh,2001-2012,84.03
Chhattisgarh,2001-2012,67.51
Dadra and Nagar Haveli,2001-2012,67.08
Daman and Diu,2001-2012,82.71
Delhi,2001-2012,83.97
Goa,2001-2012,85.41
Gujarat,2001-2012,73.65
Haryana,2001-2012,71.79
Himachal Pradesh,2001-2012,79.69
Jammu and Kashmir,2001-2012,61.43
Jharkhand,2001-2012,60.08
Karnataka,2001-2012,70.78
Kerala,2001-2012,92.45
Lakshadweep,2001-2012,89.29
Madhya Pradesh,2001-2012,66.57
Maharashtra,2001-2012,79.63
Manipur,2001-2012,73.77
Meghalya,2001-2012,68.59
Mizoram,2001-2012,90.08
Nagaland,2001-2012,73.17
Odisha,2001-2012,68.05
Puducherry,2001-2012,83.58
Punjab,2001-2012,72.79
Rajasthan,2001-2012,63.3
Sikkim,2001-2012,75.21
Tamil Nadu,2001-2012,76.94
Tripura,2001-2012,80.31
Uttar Pradesh,2001-2012,62.06
Uttarakhand,2001-2012,75.27
West Bengal,2001-2012,72.51
