Row Labels,Sum of total_crimes
A&N islands,4280
Andhra Pradesh,939280
Arunachal Pradesh,19113
Assam,376268
Bihar,718925
Chandigarh,45919
Chhattisgarh,246872
Dadra and Nagar Haveli,2972
Daman and Diu,2218
Delhi,598815
Goa,24146
Gujarat,604578
Haryana,399213
Himachal Pradesh,48694
Jammu and Kashmir,133793
Jharkhand,283662
Karnataka,693185
Kerala,355515
Lakshadweep,443
Madhya Pradesh,905012
Maharashtra,1644116
Manipur,23688
Meghalya,22773
Mizoram,27880
Nagaland,13188
Odisha,332868
Puducherry,19613
Punjab,219371
Rajasthan,854695
Sikkim,4451
Tamil Nadu,599426
Tripura,25578
Uttar Pradesh,1187966
Uttarakhand,74298
West Bengal,630050
